Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
12/18/09,Avatar,"$425,000,000 ","$760,507,625 ","$2,776,345,279 "
,,,,
5/20/11,Pirates of the Caribbean: On Stranger Tides,"$410,600,000 ","$241,063,875 ","$1,045,663,875 "
,,,,
5/1/15,Avengers: Age of Ultron,"$330,600,000 ","$459,005,868 ","$1,405,057,855 "
,,,,
12/15/17,Star Wars Ep. VIII: The Last Jedi,"$317,000,000 ","$620,181,382 ","$1,316,764,784 "
,,,,
12/18/15,Star Wars Ep. VII: The Force Awakens,"$306,000,000 ","$936,662,225 ","$2,053,311,220 "
,,,,
4/27/18,Avengers: Infinity War,"$300,000,000 ","$678,815,482 ","$2,014,285,135 "
,,,,
5/24/07,Pirates of the Caribbean: At World’s End,"$300,000,000 ","$309,420,425 ","$963,420,425 "
,,,,
11/17/17,Justice League,"$300,000,000 ","$229,024,295 ","$655,953,446 "
,,,,
11/6/15,Spectre,"$300,000,000 ","$200,074,175 ","$879,620,923 "
,,,,
7/20/12,The Dark Knight Rises,"$275,000,000 ","$448,139,099 ","$1,084,439,099 "
,,,,
7/2/13,The Lone Ranger,"$275,000,000 ","$89,302,115 ","$260,002,115 "
,,,,
3/9/12,John Carter,"$275,000,000 ","$73,058,679 ","$282,778,100 "
,,,,
11/24/10,Tangled,"$260,000,000 ","$200,821,936 ","$586,477,240 "
,,,,
5/4/07,Spider-Man 3,"$258,000,000 ","$336,530,303 ","$894,860,230 "
,,,,
5/6/16,Captain America: Civil War,"$250,000,000 ","$408,084,349 ","$1,143,624,262 "
,,,,
3/25/16,Batman v Superman: Dawn of Justice,"$250,000,000 ","$330,360,194 ","$867,916,274 "
,,,,
12/14/12,The Hobbit: An Unexpected Journey,"$250,000,000 ","$303,003,568 ","$1,017,003,568 "
,,,,
7/15/09,Harry Potter and the Half-Blood Prince,"$250,000,000 ","$301,959,197 ","$935,083,686 "
,,,,
12/13/13,The Hobbit: The Desolation of Smaug,"$250,000,000 ","$258,366,855 ","$960,366,855 "
,,,,
12/17/14,The Hobbit: The Battle of the Five Armies,"$250,000,000 ","$255,119,788 ","$945,869,788 "
,,,,
4/14/17,The Fate of the Furious,"$250,000,000 ","$225,764,765 ","$1,234,908,020 "
,,,,
5/25/18,Solo: A Star Wars Story,"$250,000,000 ","$213,767,512 ","$385,329,062 "
,,,,
6/28/06,Superman Returns,"$232,000,000 ","$200,120,000 ","$374,085,065 "
,,,,
5/26/17,Pirates of the Caribbean: Dead Men Tell No Tales,"$230,000,000 ","$172,558,876 ","$788,241,137 "
,,,,
11/14/08,Quantum of Solace,"$230,000,000 ","$169,368,427 ","$591,692,078 "
,,,,
5/4/12,The Avengers,"$225,000,000 ","$623,279,547 ","$1,519,227,577 "
,,,,
7/7/06,Pirates of the Caribbean: Dead Man’s Chest,"$225,000,000 ","$423,315,812 ","$1,066,215,812 "
,,,,
6/14/13,Man of Steel,"$225,000,000 ","$291,045,518 ","$667,999,518 "
,,,,
5/16/08,The Chronicles of Narnia: Prince Caspian,"$225,000,000 ","$141,621,490 ","$417,341,288 "
,,,,
7/3/12,The Amazing Spider-Man,"$220,000,000 ","$262,030,663 ","$757,890,267 "
,,,,
6/21/17,Transformers: The Last Knight,"$217,000,000 ","$130,168,683 ","$602,893,340 "
,,,,
6/12/15,Jurassic World,"$215,000,000 ","$652,270,625 ","$1,648,893,208 "
,,,,
5/25/12,Men in Black 3,"$215,000,000 ","$179,020,854 ","$654,213,485 "
,,,,
6/24/09,Transformers: Revenge of the Fallen,"$210,000,000 ","$402,111,870 ","$836,519,699 "
,,,,
6/27/14,Transformers: Age of Extinction,"$210,000,000 ","$245,439,076 ","$1,104,039,076 "
,,,,
5/26/06,X-Men: The Last Stand,"$210,000,000 ","$234,362,462 ","$459,260,946 "
,,,,
5/14/10,Robin Hood,"$210,000,000 ","$105,487,148 ","$322,459,006 "
,,,,
5/18/12,Battleship,"$209,000,000 ","$65,233,400 ","$305,218,228 "
,,,,
12/14/05,King Kong,"$207,000,000 ","$218,080,025 ","$550,517,357 "
,,,,
12/7/07,The Golden Compass,"$205,000,000 ","$70,107,728 ","$367,262,558 "
,,,,
2/16/18,Black Panther,"$200,000,000 ","$700,059,566 ","$1,347,071,259 "
,,,,
12/19/97,Titanic,"$200,000,000 ","$659,363,944 ","$2,208,208,395 "
,,,,
6/15/18,Incredibles 2,"$200,000,000 ","$607,980,568 ","$1,225,789,137 "
,,,,
12/16/16,Rogue One: A Star Wars Story,"$200,000,000 ","$532,177,324 ","$1,049,175,577 "
,,,,
6/17/16,Finding Dory,"$200,000,000 ","$486,295,561 ","$1,021,350,883 "
,,,,
6/18/10,Toy Story 3,"$200,000,000 ","$415,004,880 ","$1,069,666,004 "
,,,,
5/3/13,Iron Man 3,"$200,000,000 ","$408,992,272 ","$1,215,392,272 "
,,,,
5/5/17,Guardians of the Galaxy Vol 2,"$200,000,000 ","$389,813,101 ","$862,317,259 "
,,,,
6/30/04,Spider-Man 2,"$200,000,000 ","$373,524,485 ","$795,110,670 "
,,,,
3/5/10,Alice in Wonderland,"$200,000,000 ","$334,191,110 ","$1,025,491,110 "
,,,,
11/8/12,Skyfall,"$200,000,000 ","$304,360,277 ","$1,110,526,981 "
,,,,
6/21/13,Monsters University,"$200,000,000 ","$268,488,329 ","$743,588,329 "
,,,,
3/8/13,Oz the Great and Powerful,"$200,000,000 ","$234,770,996 ","$490,359,051 "
,,,,
5/23/14,X-Men: Days of Future Past,"$200,000,000 ","$233,921,534 ","$747,862,775 "
,,,,
5/2/14,The Amazing Spider-Man 2,"$200,000,000 ","$202,853,933 ","$708,996,336 "
,,,,
6/24/11,Cars 2,"$200,000,000 ","$191,450,875 ","$560,155,383 "
,,,,
12/17/10,Tron: Legacy,"$200,000,000 ","$172,062,763 ","$400,062,763 "
,,,,
11/13/09,2012,"$200,000,000 ","$166,112,167 ","$788,408,539 "
,,,,
5/21/09,Terminator Salvation,"$200,000,000 ","$125,322,469 ","$365,491,792 "
,,,,
6/17/11,Green Lantern,"$200,000,000 ","$116,601,172 ","$219,535,492 "
,,,,
5/28/10,Prince of Persia: Sands of Time,"$200,000,000 ","$90,759,676 ","$314,594,597 "
,,,,
6/29/11,Transformers: Dark of the Moon,"$195,000,000 ","$352,390,543 ","$1,123,790,543 "
,,,,
6/9/17,The Mummy,"$195,000,000 ","$80,101,125 ","$409,953,905 "
,,,,
3/1/13,Jack the Giant Slayer,"$195,000,000 ","$65,187,603 ","$197,687,603 "
,,,,
4/3/15,Furious 7,"$190,000,000 ","$353,007,020 ","$1,518,722,794 "
,,,,
5/16/13,Star Trek Into Darkness,"$190,000,000 ","$228,778,661 ","$467,381,584 "
,,,,
6/21/13,World War Z,"$190,000,000 ","$202,359,711 ","$531,514,650 "
,,,,
